mag,place,time,url,magType,longitude,latitude,depth
1.3,Central Alaska,1698229886731,https://earthquake.usgs.gov/earthquakes/eventpage/ak023dp0aggx,ml,-149.412,62.9986,66.9
1.05,"10 km NW of The Geysers, CA",1698229719750,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951145,md,-122.8366699,38.8424988,1.67
0.95,"10 km WNW of Cobb, CA",1698229558030,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951135,md,-122.8361664,38.8446655,1.84
1.29,"10 km NW of The Geysers, CA",1698229542870,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951130,md,-122.8376694,38.8438339,1.82
1.48,"10 km WNW of Cobb, CA",1698229465220,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951125,md,-122.8373337,38.8455009,2.01
1.19,"13 km SE of Bodfish, CA",1698229363910,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587040,ml,-118.3955,35.4961667,7.41
1.1,"10 km ESE of Coso Junction, CA",1698228579530,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587032,ml,-117.8388333,36.0195,-0.23
4.6,,1698228555411,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l684,mb,-177.7058,-19.2439,413.626
2.02999997,"10 km E of Pāhala, Hawaii",1698228552880,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623442,md,-155.376159667969,19.1848335266113,30.7999992370605
1.15,"16 km E of Ocotillo, CA",1698228414510,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587024,ml,-115.8181667,32.7196667,2.98
1.27,"7 km SSW of Holtville, CA",1698228202590,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587016,ml,-115.4206667,32.7571667,8.92
1.86000001,"4 km SSW of Pāhala, Hawaii",1698228169990,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623432,md,-155.489501953125,19.1634998321533,33.060001373291
1.1,"32 km W of Clear, Alaska",1698226864419,https://earthquake.usgs.gov/earthquakes/eventpage/ak023dozr4ax,ml,-149.8588,64.2923,13.0
1.4,"75 km W of Petersville, Alaska",1698226676348,https://earthquake.usgs.gov/earthquakes/eventpage/ak023dozqdg2,ml,-152.2152,62.6286,133.2
1.2,"34 km SSE of Denali National Park, Alaska",1698225584261,https://earthquake.usgs.gov/earthquakes/eventpage/ak023dozmhmi,ml,-151.4562,63.251,8.6
4.7,"267 km WNW of Houma, Tonga",1698225312372,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l67v,mb,-177.7926,-20.5856,511.94
2.03,"3 km ESE of Tres Pinos, CA",1698225127540,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951120,md,-121.2866669,36.7775002,9.2
1.29,"12 km NNW of Borrego Springs, CA",1698224532520,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587008,ml,-116.423,33.361,5.64
2.18,"13 km SSW of Volcano, Hawaii",1698224287470,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623362,ml,-155.302993774414,19.3366661071777,3.25
3.61,"20 km WNW of Rincón, Puerto Rico",1698224042260,https://earthquake.usgs.gov/earthquakes/eventpage/pr2023298001,md,-67.4293,18.4025,12.0
1.19,"0 km NNE of The Geysers, CA",1698223017230,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951110,md,-122.7546692,38.7798347,0.37
1.19,"7 km SW of Holtville, CA",1698222841750,https://earthquake.usgs.gov/earthquakes/eventpage/ci40587000,ml,-115.423,32.7591667,9.11
1.05,"6 km NNE of Fontana, CA",1698222745240,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586992,ml,-117.4221667,34.1433333,4.56
2.76,"14 km SW of Toms Place, CA",1698222536210,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951105,md,-118.8050003,37.4889984,6.17
0.55,"15 km E of Anza, CA",1698222361470,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586976,ml,-116.5131667,33.53,15.39
2.06,,1698222224950,https://earthquake.usgs.gov/earthquakes/eventpage/pr71429808,md,-66.8071666666667,18.0108333333333,19.46
2.5,,1698222033542,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doz18wy,ml,-152.6458,60.1808,113.9
2.35,"3 km WSW of La Parguera, Puerto Rico",1698221954440,https://earthquake.usgs.gov/earthquakes/eventpage/pr71429798,md,-67.0753333333333,17.9573333333333,8.79
4.6,"3 km NNE of Vogar, Iceland",1698221923916,https://earthquake.usgs.gov/earthquakes/eventpage/us7000l66j,mb,-22.3656,64.0121,10.0
1.56,"8 km S of Carmel Valley Village, CA",1698221239410,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951100,md,-121.7841644,36.4313316,8.87
1.34,"17 km E of Ocotillo, CA",1698220746470,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586968,ml,-115.8105,32.7121667,4.78
2.07,"6 km NNE of Fontana, CA",1698220278150,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586960,ml,-117.4216667,34.1448333,6.88
0.7,"45 km NNE of Whittier, Alaska",1698219755835,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doykj9b,ml,-148.2807,61.1329,12.2
1.52,"16 km E of Ocotillo, CA",1698219258500,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586952,ml,-115.8171667,32.721,2.82
1.1,"105 km NNW of Karluk, Alaska",1698218965022,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doyhq3a,ml,-154.8556,58.4895,49.9
2.5,,1698218915473,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doyhj77,ml,-153.0209,60.1552,144.4
2.11,"3 km SSW of Pāhala, Hawaii",1698218914190,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623277,ml,-155.486999511719,19.1690006256104,29.8500003814697
2.65,"7 km WNW of Rincón, Puerto Rico",1698218899720,https://earthquake.usgs.gov/earthquakes/eventpage/pr71429793,md,-67.3078333333333,18.3721666666667,17.48
1.6,,1698218739465,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doygwca,ml,-149.332,62.0129,6.1
0.94,"6 km NNE of Fontana, CA",1698218608400,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586944,ml,-117.4236667,34.1443333,4.73
0.81,"2 km SE of The Geysers, CA",1698218477220,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951090,md,-122.7338333,38.7630005,1.93
0.99,"16 km E of Ocotillo, CA",1698218433730,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586936,ml,-115.8191667,32.7213333,2.68
1.21,"2 km WNW of Anderson Springs, CA",1698218340100,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951085,md,-122.7111664,38.7796669,1.63
1.15,"2 km ESE of The Geysers, CA",1698218306640,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951080,md,-122.7340012,38.7680016,0.9
0.81,"2 km WNW of The Geysers, CA",1698218101960,https://earthquake.usgs.gov/earthquakes/eventpage/nc73951075,md,-122.7791672,38.7840004,-0.84
1.7,"46 km S of Manley Hot Springs, Alaska",1698217148656,https://earthquake.usgs.gov/earthquakes/eventpage/ak023doy2opd,ml,-150.4555,64.5936,2.7
0.55,"6 km NNE of Fontana, CA",1698216923670,https://earthquake.usgs.gov/earthquakes/eventpage/ci40586928,ml,-117.4258333,34.1431667,5.06
1.74000001,,1698216741510,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623232,md,-155.474838256836,19.1638336181641,29.0699996948242
2.61,"3 km S of Pāhala, Hawaii",1698216373500,https://earthquake.usgs.gov/earthquakes/eventpage/hv73623227,ml,-155.481826782227,19.1678333282471,31.7600002288818
